ASB,CVE,area,component,subcomponent,patch_level,android_id,type,severity,aosp_versions,patch_links,patch_files,vendor,references,tech_details,fix_details,notes,affected_silicon,cts_test,prior_patch_levels
2018-08,CVE-2017-8261,Kernel,Qualcomm components,Camera driver,N/A,A-35139833,EoP,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2013631,"The vulnerability is in the msm_buf_mngr_subdev_ioctl function of msm_generic_buf_mgr.c. The specific flaw is that in the MSM_CAMERA_BUF_MNGR_IOCTL_ID_GET_BUF_BY_IDX handler, a pointer was being taken from user provided data, resulting in kernel memory corruption.",The fix is designed to no longer use user provided data as a write pointer.,N/A,N/A,N/A,N/A
2018-08,CVE-2017-9711,Kernel,Qualcomm components,IPA,N/A,A-36367253,EoP,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2046006,"In ipa_wwan_ioctl and ipa3_wwan_ioctl of rmnet_ipa.c, there is a possible bypass of privileged ioctl filtering due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add a permission check.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9461,Platform,System,AOSP Messages,N/A,A-37629504,ID,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/packages/apps/Messaging/0001-RESTRICT-AUTOMERGE-Messaging-ignores-file-URIs-shared-via-i.bulletin.patch,patches/android-6.0.1_r20/platform/packages/apps/Messaging/0001-RESTRICT-AUTOMERGE-Messaging-ignores-file-URIs-shared-via-i.bulletin.patch,patches/android-7.0.0_r1/platform/packages/apps/Messaging/0001-Messaging-ignores-file-URIs-shared-via-intent.bulletin.patch,patches/android-7.1.1_r4/platform/packages/apps/Messaging/0001-Messaging-ignores-file-URIs-shared-via-intent.bulletin.patch,patches/android-7.1.2_r5/platform/packages/apps/Messaging/0001-Messaging-ignores-file-URIs-shared-via-intent.bulletin.patch,patches/android-8.0.0_r1/platform/packages/apps/Messaging/0001-Messaging-ignores-file-URIs-shared-via-intent.bulletin.patch,patches/android-8.1.0_r1/platform/packages/apps/Messaging/0001-Messaging-ignores-file-URIs-shared-via-intent.bulletin.patch",N/A,N/A,"In onAttachFragment of ShareIntentActivity.java, there is a possible permissions bypass due to a confused deputy. This could lead to local information disclosure reading from files that the AOSP Messenger has access to with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to prevent sending using file URIs.,N/A,N/A,N/A,N/A
2018-08,CVE-2017-18310,Kernel,Qualcomm closed-source components,SMCInvoke,2018-08-05,A-62211308,N/A,Critical,N/A,N/A,N/A,Qualcomm,QC-CR#2012888,N/A,N/A,Qualcomm AMSS bulletin: May 2017,N/A,N/A,N/A
2018-08,CVE-2017-13295,Platform,Update: Framework,PackageInstaller,N/A,A-62537081,DoS,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/packages/apps/PackageInstaller/0001-RESTRICT-AUTOMERGE-Always-use-safe-labels.bulletin.patch,patches/android-6.0.1_r20/platform/packages/apps/PackageInstaller/0001-RESTRICT-AUTOMERGE-Always-use-safe-labels.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/base/0001-Make-safe-label-more-safe.bulletin.patch,patches/android-7.0.0_r1/platform/packages/apps/PackageInstaller/0001-RESTRICT-AUTOMERGE-Always-use-safe-labels.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/base/0001-Make-safe-label-more-safe.bulletin.patch,patches/android-7.1.1_r4/platform/packages/apps/PackageInstaller/0001-RESTRICT-AUTOMERGE-Always-use-safe-labels.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/base/0001-Make-safe-label-more-safe.bulletin.patch,patches/android-7.1.2_r5/platform/packages/apps/PackageInstaller/0001-RESTRICT-AUTOMERGE-Always-use-safe-labels.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0001-Make-safe-label-more-safe.bulletin.patch,patches/android-8.0.0_r1/platform/packages/apps/PackageInstaller/0001-RESTRICT-AUTOMERGE-Always-use-safe-labels.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0001-Make-safe-label-more-safe.bulletin.patch,patches/android-8.1.0_r1/platform/packages/apps/PackageInstaller/0001-RESTRICT-AUTOMERGE-Always-use-safe-labels.bulletin.patch",N/A,N/A,"In ResStringPool::string8At of ResourceTypes.cpp, there is a possible exception due to a lack of validation on input data.  This could lead to local denial of service with no additional execution privileges needed.  User interaction is not needed for exploitation.",The fix is designed to reject strings that are not null terminated in ResStringPool::string8At.,N/A,N/A,N/A,N/A
2018-08,CVE-2017-13242,Platform,Update: System,Bluetooth Pairing,N/A,A-62672248,ID,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/packages/apps/Settings/0002-Import-translations-DO-NOT-MERGE.bulletin.patch,patches/android-6.0.1_r20/platform/packages/apps/Settings/0002-Merge-translations-of-Bluetooth-confirmation-text.bulletin.patch,patches/android-7.0.0_r1/platform/packages/apps/Settings/0002-Merge-translations-of-Bluetooth-confirmation-text.bulletin.patch,patches/android-7.1.1_r4/platform/packages/apps/Settings/0002-Merge-translations-of-Bluetooth-confirmation-text.bulletin.patch,patches/android-7.1.2_r5/platform/packages/apps/Settings/0002-Merge-translations-of-Bluetooth-confirmation-text.bulletin.patch,patches/android-8.0.0_r1/platform/packages/apps/Settings/0002-Merge-translations-of-Bluetooth-confirmation-text.bulletin.patch,patches/android-8.1.0_r1/platform/packages/apps/Settings/0002-Import-translations-DO-NOT-MERGE.bulletin.patch",N/A,N/A,"In the bluetooth pairing dialog, there is a possible permissions bypass due to improper input validation. This could lead to remote information disclosure if a device name is too long or has newlines, sending contacts over bluetooth with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to change the text so the device name is no longer displayed.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9444,Platform,Media framework,libavc,2018-08-01,A-63521984,DoS,High,"6.0,6.0.1,7.0,7.1.1,7.1.2",N/A,"patches/android-6.0.0_r1/platform/external/libavc/0001-Bug-fix-for-flush-without-valid-frames.bulletin.patch,patches/android-6.0.1_r20/platform/external/libavc/0001-Bug-fix-for-flush-without-valid-frames.bulletin.patch,patches/android-7.0.0_r1/platform/external/libavc/0001-Bug-fix-for-flush-without-valid-frames.bulletin.patch,patches/android-7.1.1_r4/platform/external/libavc/0001-Bug-fix-for-flush-without-valid-frames.bulletin.patch,patches/android-7.1.2_r5/platform/external/libavc/0001-Bug-fix-for-flush-without-valid-frames.bulletin.patch",N/A,N/A,In ih264d_video_decode of ih264d_api.c there is a possible resource exhaustion due to an infinite loop. This could lead to remote temporary device denial of service (remote hang or reboot) with no additional execution privileges needed. User interaction is needed for exploitation.,The fix is designed to ensure that the decoder returns IV_FAIL in flush mode when it has no buffers to display.,N/A,N/A,N/A,N/A
2018-08,CVE-2017-1000100,Platform,Framework,libcurl,N/A,A-64610131,ID,Moderate,"7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-7.0.0_r1/platform/external/curl/0001-Disable-unused-protocols-.bulletin.patch,patches/android-7.1.1_r4/platform/external/curl/0001-Disable-unused-protocols-.bulletin.patch,patches/android-7.1.2_r5/platform/external/curl/0001-Disable-unused-protocols-.bulletin.patch,patches/android-8.0.0_r1/platform/external/curl/0001-Disable-unused-protocols-.bulletin.patch,patches/android-8.1.0_r1/platform/external/curl/0001-Disable-unused-protocols-.bulletin.patch",N/A,N/A,"In tftp_send_first of tftp.c, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure when an app using libcurl sends data to a tftp address with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to update libcurl from 7.54.1 to 7.55.1.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-3587,Kernel,Qualcomm components,qcacld-2.0,N/A,A-65542521,EoP,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2120605,"In several places, there is a possible use after free due to a race condition. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to remove the entire FW memory dump feature to avoid this and other use after frees.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9459,Platform,System,AOSP Mail,2018-08-01,A-66230183,EoP,High,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/packages/apps/UnifiedEmail/0001-Filter-Attachment-file-name-of-forward-slashes-for-eml-atta.bulletin.patch,patches/android-6.0.1_r20/platform/packages/apps/UnifiedEmail/0001-Filter-Attachment-file-name-of-forward-slashes-for-eml-atta.bulletin.patch,patches/android-7.0.0_r1/platform/packages/apps/UnifiedEmail/0001-Filter-Attachment-file-name-of-forward-slashes-for-eml-atta.bulletin.patch,patches/android-7.1.1_r4/platform/packages/apps/UnifiedEmail/0001-Filter-Attachment-file-name-of-forward-slashes-for-eml-atta.bulletin.patch,patches/android-7.1.2_r5/platform/packages/apps/UnifiedEmail/0001-Filter-Attachment-file-name-of-forward-slashes-for-eml-atta.bulletin.patch,patches/android-8.0.0_r1/platform/packages/apps/UnifiedEmail/0001-Filter-Attachment-file-name-of-forward-slashes-for-eml-atta.bulletin.patch,patches/android-8.1.0_r1/platform/packages/apps/UnifiedEmail/0001-Filter-Attachment-file-name-of-forward-slashes-for-eml-atta.bulletin.patch",N/A,N/A,"In Attachment of Attachment.java and getFilePath of EmlAttachmentProvider.java, there is a possible Elevation of Privilege due to a path traversal error. This could lead to a remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to filter attachment file names.,N/A,N/A,N/A,N/A
