ASB,CVE,area,component,subcomponent,patch_level,android_id,type,severity,aosp_versions,patch_links,patch_files,vendor,references,tech_details,fix_details,notes,affected_silicon,cts_test,prior_patch_levels
2018-12,CVE-2017-18160,Kernel,Qualcomm closed-source components,GPS_GNSS,2018-12-05,A-109660689,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#796614,N/A,N/A,Qualcomm AMSS bulletin: March 2017,N/A,N/A,N/A
2018-12,CVE-2018-11279,Kernel,Qualcomm closed-source components,1x,2018-12-05,A-109678200,N/A,Critical,N/A,N/A,N/A,Qualcomm,QC-CR#2183538,N/A,N/A,Qualcomm AMSS bulletin: June 2018,N/A,N/A,N/A
2018-12,CVE-2018-11267,Kernel,Qualcomm closed-source components,Storage,2018-12-05,A-109678338,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2121219,N/A,N/A,Qualcomm AMSS bulletin: June 2018,N/A,N/A,N/A
2018-12,CVE-2018-9549,Platform,Media framework,libSBRdec,2018-12-01,A-112160868,RCE,Critical,"7.0,7.1.1,7.1.2,8.0,8.1,9",N/A,"patches/android-7.0.0_r1/platform/external/aac/0001-DO-NOT-MERGE-Prevent-out-of-bounds-accesses-in-lppTransposer.bulletin.patch,patches/android-7.1.1_r4/platform/external/aac/0001-DO-NOT-MERGE-Prevent-out-of-bounds-accesses-in-lppTransposer.bulletin.patch,patches/android-7.1.2_r5/platform/external/aac/0001-DO-NOT-MERGE-Prevent-out-of-bounds-accesses-in-lppTransposer.bulletin.patch,patches/android-8.0.0_r1/platform/external/aac/0001-Prevent-out-of-bounds-accesses-in-lppTransposer-.bulletin.patch,patches/android-8.1.0_r1/platform/external/aac/0001-Prevent-out-of-bounds-accesses-in-lppTransposer-.bulletin.patch,patches/android-9.0.0_r1/platform/external/aac/0003-Prevent-out-of-bounds-accesses-in-lppTransposer-and-lppTra.bulletin.patch",N/A,N/A,In lppTransposer of lpp_tran.cpp there is a possible out of bounds write due to missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation.,The fix is designed to avoid the out of bounds write.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9558,Platform,System,NFC,2018-12-01,A-112161557,EoP,High,"7.0,7.1.1,7.1.2,8.0,8.1,9",N/A,"patches/android-7.0.0_r1/platform/external/libnfc-nci/0001-Prevent-OOB-error-for-T2T-read-writes.bulletin.patch,patches/android-7.1.1_r4/platform/external/libnfc-nci/0001-Prevent-OOB-error-for-T2T-read-writes.bulletin.patch,patches/android-7.1.2_r5/platform/external/libnfc-nci/0001-Prevent-OOB-error-for-T2T-read-writes.bulletin.patch,patches/android-8.0.0_r1/platform/system/nfc/0001-Prevent-OOB-error-for-T2T-read-writes.bulletin.patch,patches/android-8.1.0_r1/platform/system/nfc/0001-Prevent-OOB-error-for-T2T-read-writes.bulletin.patch,patches/android-9.0.0_r1/platform/system/nfc/0001-Prevent-OOB-error-for-T2T-read-writes.bulletin.patch",N/A,N/A,"In rw_t2t_handle_tlv_detect of rw_t2t_ndef.cc, there is a possible out-of-bounds write due to a missing bounds check. This could lead to local escalation of privilege in the NFC kernel with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to add a bounds check.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9538,Platform,Media framework,V4L2 decoder,2018-12-01,A-112181526,EoP,High,"8.1,9",N/A,"patches/android-8.1.0_r1/platform/external/v4l2_codec2/0001-Don-t-continue-with-an-invalid-iterator.bulletin.patch,patches/android-9.0.0_r1/platform/external/v4l2_codec2/0001-Don-t-continue-with-an-invalid-iterator.bulletin.patch",N/A,N/A,"In V4L2SliceVideoDecodeAccelerator::Dequeue of v4l2_slice_video_decode_accelerator.cc, there is a possible out of bounds read of a function pointer due to an incorrect bounds check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to avoid the out of bounds read.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-11922,Kernel,Qualcomm closed-source components,Build,2018-12-05,A-112279564,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2223932,N/A,N/A,Qualcomm AMSS bulletin: August 2018,N/A,N/A,N/A
2018-12,CVE-2018-9555,Platform,System,Bluetooth,2018-12-01,A-112321180,RCE,Critical,"7.0,7.1.1,7.1.2,8.0,8.1,9",N/A,"patches/android-7.0.0_r1/platform/system/bt/0001-DO-NOT-MERGE-Check-SDU-lower-bound-before-allocate-p_data.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0001-DO-NOT-MERGE-Check-SDU-lower-bound-before-allocate-p_data.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0001-DO-NOT-MERGE-Check-SDU-lower-bound-before-allocate-p_data.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0001-DO-NOT-MERGE-Check-SDU-lower-bound-before-allocate-p_data.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0001-DO-NOT-MERGE-Check-SDU-lower-bound-before-allocate-p_data.bulletin.patch,patches/android-9.0.0_r1/platform/system/bt/0002-Check-SDU-lower-bound-before-allocate-p_data.bulletin.patch",N/A,N/A,"In l2c_lcc_proc_pdu of l2c_fcr.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to remote escalation of privilege over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add a bounds check.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9548,Platform,Framework,Content provider,2018-12-01,A-112555574,ID,High,"7.0,7.1.1,7.1.2,8.0,8.1,9",N/A,"patches/android-7.0.0_r1/platform/frameworks/base/0001-RESTRICT-AUTOMERGE-Recover-shady-content-paths-.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/base/0001-RESTRICT-AUTOMERGE-Recover-shady-content-paths-.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/base/0001-RESTRICT-AUTOMERGE-Recover-shady-content-paths-.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0001-RESTRICT-AUTOMERGE-Recover-shady-content-paths-.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0001-RESTRICT-AUTOMERGE-Recover-shady-content-paths-.bulletin.patch,patches/android-9.0.0_r1/platform/frameworks/base/0001-Recover-shady-content-paths-.bulletin.patch",N/A,N/A,"In multiple functions of ContentProvider.java, there is a possible permission bypass due to a missing URI validation. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to validate content:// URI’s.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9550,Platform,Media framework,AAC codec,2018-12-01,A-112660981,RCE,Critical,9,N/A,patches/android-9.0.0_r1/platform/external/aac/0002-Always-check-whether-given-channel-config-is-supported-.bulletin.patch,N/A,N/A,"In CAacDecoder_Init of aacdecoder.cpp, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to always perform the bounds check regardless of configuration.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9559,Platform,System,vold,2018-12-01,A-112731440,EoP,High,"7.0,7.1.1,7.1.2,8.0,8.1,9",N/A,"patches/android-7.0.0_r1/platform/system/vold/0001--DO-NOT-MERGE-Fix-signedness-mismatch-and-integer-underflow.bulletin.patch,patches/android-7.1.1_r4/platform/system/vold/0001--DO-NOT-MERGE-Fix-signedness-mismatch-and-integer-underflow.bulletin.patch,patches/android-7.1.2_r5/platform/system/vold/0001--DO-NOT-MERGE-Fix-signedness-mismatch-and-integer-underflow.bulletin.patch,patches/android-8.0.0_r1/platform/system/vold/0001--DO-NOT-MERGE-Fix-signedness-mismatch-and-integer-underflow.bulletin.patch,patches/android-8.1.0_r1/platform/system/vold/0001--DO-NOT-MERGE-Fix-signedness-mismatch-and-integer-underflow.bulletin.patch,patches/android-9.0.0_r1/platform/system/vold/0001--DO-NOT-MERGE-Fix-signedness-mismatch-and-integer-underflow.bulletin.patch",N/A,N/A,"In persist_set_key and other functions of cryptfs.cpp, there is a possible out-of-bounds write due to an uncaught error. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to change persist_get_max_entries to return 0 on failure.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9543,Platform,Update: System,libf2fs,2018-12-01,A-112868088,ID,High,"7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-7.0.0_r1/platform/external/f2fs-tools/0001--DO-NOT-MERGE-make_f2fs-issue-discard-commands-on-mkfs.bulletin.patch,patches/android-7.1.1_r4/platform/external/f2fs-tools/0001--DO-NOT-MERGE-make_f2fs-issue-discard-commands-on-mkfs.bulletin.patch,patches/android-7.1.2_r5/platform/external/f2fs-tools/0001--DO-NOT-MERGE-make_f2fs-issue-discard-commands-on-mkfs.bulletin.patch,patches/android-8.0.0_r1/platform/external/f2fs-tools/0001--DO-NOT-MERGE-make_f2fs-issue-discard-commands-on-mkfs.bulletin.patch,patches/android-8.1.0_r1/platform/external/f2fs-tools/0001--DO-NOT-MERGE-make_f2fs-issue-discard-commands-on-mkfs.bulletin.patch",N/A,N/A,"In trim_device of f2fs_format_utils.c, it is possible that the data partition is not wiped during a factory reset.  This could lead to local information disclosure after factory reset with no additional execution privileges needed.  User interaction is not needed for exploitation.","The fix is designed to define WITH_BLKDISCARD, so the partition is wiped.",N/A,N/A,N/A,N/A
2018-12,CVE-2018-9551,Platform,Media framework,AAC Codec,2018-12-01,A-112891548,RCE,Critical,9,N/A,patches/android-9.0.0_r1/platform/external/aac/0001-Unify-audio-element-loop-abort-criterion-in-ER-syntax.bulletin.patch,N/A,N/A,"In CAacDecoder_Init of aacdecoder.cpp, there is a possible out-of-bound write due to a missing bounds check. This could lead to remote code execution in the media server with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to add a bounds check to the channel index.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9556,Platform,System,Update Engine,2018-12-01,A-113118184,RCE,Critical,9,N/A,patches/android-9.0.0_r1/platform/system/update_engine/0001-Check-metadata-size-in-payload-.bulletin.patch,N/A,N/A,"In ParsePayloadHeader of payload_metadata.cc, there is a possible out of bounds write due to an integer overflow.  This could lead to remote escalation of privilege with no additional execution privileges needed.  User interaction is not needed for exploitation.",The fix is designed to add integer overflow and bounds checks.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9562,Platform,System,Bluetooth,2018-12-01,A-113164621,ID,High,9,N/A,patches/android-9.0.0_r1/platform/system/bt/0001-bta-Pass-the-correct-UUID-array-size-in-bta_ag_do_disc.bulletin.patch,N/A,N/A,"In bta_ag_do_disc of bta_ag_sdp.cc, there is a possible out-of-bound read due to an incorrect parameter size. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to use the correct UUID array size.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9552,Platform,Media framework,libhevc,2018-12-01,A-113260892,ID,Critical,"7.0,7.1.1,7.1.2,8.0,8.1,9",N/A,"patches/android-7.0.0_r1/platform/external/libhevc/0001-Add-limits-check-for-the-CTB-position-in-a-frame.bulletin.patch,patches/android-7.1.1_r4/platform/external/libhevc/0001-Add-limits-check-for-the-CTB-position-in-a-frame.bulletin.patch,patches/android-7.1.2_r5/platform/external/libhevc/0001-Add-limits-check-for-the-CTB-position-in-a-frame.bulletin.patch,patches/android-8.0.0_r1/platform/external/libhevc/0001-Add-limits-check-for-the-CTB-position-in-a-frame.bulletin.patch,patches/android-8.1.0_r1/platform/external/libhevc/0001-Add-limits-check-for-the-CTB-position-in-a-frame.bulletin.patch,patches/android-9.0.0_r1/platform/external/libhevc/0001-Add-limits-check-for-the-CTB-position-in-a-frame.bulletin.patch",N/A,N/A,In ihevcd_sao_shift_ctb of ihevcd_sao.c there is a possible out of bounds write due to missing bounds check. This could lead to information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.,The fix is designed to avoid the out of bounds write.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-9568,Kernel,Kernel components,network,2018-12-05,A-113509306,EoP,High,N/A,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/net/core/sock.c?id=9d538fa60bad4f7b23193c89e843797a1cf71ef3,N/A,Upstream Linux,N/A,"In sk_clone_lock of sock.c, there is a possible memory corruption due to type confusion. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to set sk_prot_creator when cloning sockets to the right protocol.,N/A,N/A,N/A,N/A
2018-12,CVE-2018-11961,Kernel,Qualcomm components,GPS_AP_LINUX,2018-12-05,A-114040881,N/A,High,N/A,https://source.codeaurora.org/quic/le/platform/hardware/qcom/gps/commit/?id=c57ee0a5d3261ab20c35b451d1b3ae2b02a21591,N/A,Qualcomm,QC-CR#2261813,N/A,N/A,Qualcomm APSS bulletin: September 2018,N/A,N/A,N/A
2018-12,CVE-2018-11963,Kernel,Qualcomm components,Automotive Multimedia,2018-12-05,A-114041685,N/A,High,N/A,https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=c9ac3476a91c384a3f2760fabaecef0ad8698d7b,N/A,Qualcomm,QC-CR#2220770,N/A,N/A,Qualcomm APSS bulletin: September 2018,N/A,N/A,N/A
